"OWNER","ADDRESS","City","State","Zip","TOTL_SQFT","D_CLASS_CN","TOTAL_VALUE","cst_sqft","AUTO_UNIQUE_ID_2014-04-22_sebrenner_denOffice_short","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType","MNumber","MNumberFractional","MPreDirectional","MName","MSuffix","MPostDirectional","MSuiteType","MSuiteNumber","MPostOfficeBoxType","MPostOfficeBoxNumber","MCity","MState","MZip","MZipPlus1","MZipPlus2","MZipPlus3","MZipPlus4","MZipPlus5","MPreQualifier","MPostQualifier","MConsolidatedCity","MMinorCivilDivision","MCountySubRegion","MCounty","MPreType","MPreArticle","MPostArticle","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty","FNumber","FNumberFractional","FPreDirectional","FName","FSuffix","FPostDirectional","FSuiteType","FSuiteNumber","FCity","FState","FZip","FZipPlus1","FZipPlus2","FZipPlus3","FZipPlus4","FZipPlus5","FPreQualifier","FPostQualifier","FConsolidatedCity","FMinorCivilDivision","FCountySubRegion","FCounty","FArea","FAreaType","FGeometry","FSource","FVintage","FPrimaryIdValue","FPostOfficeBoxNumber","FPrimaryIdField","FGeometrySRID","FPostOfficeBoxType","FPreType","FPreArticle","FPostArticle"
"SBC 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","1","OFFICE CONDO","1200","1,200.00",1,"USCGeocoder",203,1,"4.01","","90dda6d2-a492-43e8-bc15-119e9dad427f","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"HELEN G BONFILS FOUNDATION","1020  15TH ST","Denver","CO","80123","1","OFFICE CONDO","1500","1,500.00",2,"USCGeocoder",343,1,"4.01","","601d96ea-a243-4716-8b08-069b03563f56","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4810.51539966464","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.746337418885,-104.996778837639,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2002","2","0017.02","031","08","1","ResidenceStreetAddress","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1020","","","","St","","","","Denver","CO","80202","","","","2300","","","","","","","",4810.51539966464,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","713032","","UniqueId",0,"","","",""
"THOMAS,GARY B","1020  15TH ST","Denver","CO","80123","5","OFFICE CONDO","22600","4,520.00",3,"USCGeocoder",187,1,"4.01","","0dea46b1-9ba6-4478-8fa8-d344e2b0af9e","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4810.51539966464","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.746337418885,-104.996778837639,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2002","2","0017.02","031","08","1","ResidenceStreetAddress","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1020","","","","St","","","","Denver","CO","80202","","","","2300","","","","","","","",4810.51539966464,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","713032","","UniqueId",0,"","","",""
"ALTA RIVERFRONT LLC","1700  BASSETT ST","Denver","CO","80123","18","OFFICE CONDO","189100","10,505.56",4,"USCGeocoder",281,1,"4.01","","029911fd-3ebc-4c26-bcfc-308d7c1ed4bf","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","5748.32428067923","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7564605260521,-105.003144706815,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1007","1","0017.01","031","08","1","ResidenceStreetAddress","1700","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1700","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1700","","","","St","","","","Denver","CO","80202","","","","1913","","","","","","","",5748.32428067923,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735572","","UniqueId",0,"","","",""
"EQUITABLE BUILDING CONDOMINIUM ASSOCIATION INC","730  17TH ST","Denver","CO","80123","20","OFFICE CONDO","15400","770",5,"USCGeocoder",234,1,"4.01","","b7ce5fac-531a-4ff1-9160-7ea0e334eefd","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WESTSIDE LINE LLC","1777  LARIMER ST","Denver","CO","80123","24","OFFICE CONDO","348700","14,529.17",6,"USCGeocoder",250,1,"4.01","","4089087a-6e7b-45cf-998c-e4b345761562","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4637.34946784377","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7507894166832,-104.995859827047,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4007","4","0017.01","031","08","1","ResidenceStreetAddress","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1777","","","","St","","","","Denver","CO","80202","","","","1592","","","","","","","",4637.34946784377,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","757457","","UniqueId",0,"","","",""
"INFINITY OIL AND GAS INC","730  17TH ST","Denver","CO","80123","30","OFFICE CONDO","48400","1,613.33",7,"USCGeocoder",16,1,"4.01","","5a22a739-62d3-4044-83a4-eb0ee6f475d0","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WEINMAN,JEFFREY A AND KAREN S","730  17TH ST","Denver","CO","80123","33","OFFICE CONDO","49300","1,493.94",8,"USCGeocoder",16,1,"4.01","","33c2cdac-5504-40e8-9696-1d80777485e7","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WESTSIDE LINE LLC","1777  LARIMER ST","Denver","CO","80123","34","OFFICE CONDO","361600","10,635.29",9,"USCGeocoder",31,1,"4.01","","ad9bcaf2-a2a1-4a88-bb19-cb3a525302ba","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4637.34946784377","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7507894166832,-104.995859827047,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4007","4","0017.01","031","08","1","ResidenceStreetAddress","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1777","","","","St","","","","Denver","CO","80202","","","","1592","","","","","","","",4637.34946784377,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","757457","","UniqueId",0,"","","",""
"INFINITY OIL AND GAS INC","730  17TH ST","Denver","CO","80123","35","OFFICE CONDO","53200","1,520.00",10,"USCGeocoder",16,1,"4.01","","3c9240b9-e9fc-4d12-9336-f4bf77183d5a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
